"";"education";"ocupation";"area";"age group";"recomendation";"firma";"score";"detractor";"neutral";"promoter";"total"
"1010";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";10;"Goździk";"Promoter";0;0;1;1
"1011";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"powyżej 60";2;"Goździk";"Detractor";1;0;0;1
"1012";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";8;"Goździk";"Neutral";0;1;0;1
"1013";"Wyższe";"Główny agronom";"więcej niż 250 ha";"51 - 60";2;"Goździk";"Detractor";1;0;0;1
"1014";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";5;"Goździk";"Detractor";1;0;0;1
"1015";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";3;"Goździk";"Detractor";1;0;0;1
"1016";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";2;"Goździk";"Detractor";1;0;0;1
"1017";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";5;"Goździk";"Detractor";1;0;0;1
"1018";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";8;"Goździk";"Neutral";0;1;0;1
"1019";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";10;"Goździk";"Promoter";0;0;1;1
"1020";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"51 - 60";10;"Goździk";"Promoter";0;0;1;1
"1021";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";2;"Goździk";"Detractor";1;0;0;1
"1022";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";3;"Goździk";"Detractor";1;0;0;1
"1023";"Średnie techniczne";"Agronom ekspert";"100.01 - 250 ha";"41 - 50";10;"Goździk";"Promoter";0;0;1;1
"1024";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"31 - 40";9;"Goździk";"Promoter";0;0;1;1
"1025";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";8;"Goździk";"Neutral";0;1;0;1
"1026";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"powyżej 60";9;"Goździk";"Promoter";0;0;1;1
"1027";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"51 - 60";10;"Goździk";"Promoter";0;0;1;1
"1028";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";6;"Goździk";"Detractor";1;0;0;1
"1029";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";9;"Goździk";"Promoter";0;0;1;1
"1030";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";9;"Goździk";"Promoter";0;0;1;1
"1031";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";6;"Goździk";"Detractor";1;0;0;1
"1032";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";3;"Goździk";"Detractor";1;0;0;1
"1033";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";9;"Goździk";"Promoter";0;0;1;1
"1034";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"31 - 40";6;"Goździk";"Detractor";1;0;0;1
"1035";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";7;"Goździk";"Neutral";0;1;0;1
"1036";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";9;"Goździk";"Promoter";0;0;1;1
"1037";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"41 - 50";9;"Goździk";"Promoter";0;0;1;1
"1038";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"31 - 40";9;"Goździk";"Promoter";0;0;1;1
"1039";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"31 - 40";8;"Goździk";"Neutral";0;1;0;1
"1040";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";4;"Goździk";"Detractor";1;0;0;1
"1041";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";9;"Goździk";"Promoter";0;0;1;1
"1042";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"powyżej 60";10;"Goździk";"Promoter";0;0;1;1
"1043";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";9;"Goździk";"Promoter";0;0;1;1
"1044";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";10;"Goździk";"Promoter";0;0;1;1
"1045";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";3;"Goździk";"Detractor";1;0;0;1
"1046";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";8;"Goździk";"Neutral";0;1;0;1
"1047";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";9;"Goździk";"Promoter";0;0;1;1
"1048";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"mniej niż 30";10;"Goździk";"Promoter";0;0;1;1
"1049";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";7;"Goździk";"Neutral";0;1;0;1
"1050";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";2;"Goździk";"Detractor";1;0;0;1
"1051";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";10;"Goździk";"Promoter";0;0;1;1
"1052";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";4;"Goździk";"Detractor";1;0;0;1
"1053";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";5;"Goździk";"Detractor";1;0;0;1
"1054";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"mniej niż 30";7;"Goździk";"Neutral";0;1;0;1
"1055";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";7;"Goździk";"Neutral";0;1;0;1
"1056";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"41 - 50";9;"Goździk";"Promoter";0;0;1;1
"1057";"Średnie ogólne";"Główny agronom";"mniej niż 25 ha";"31 - 40";9;"Goździk";"Promoter";0;0;1;1
"1058";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";7;"Goździk";"Neutral";0;1;0;1
"1059";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";8;"Goździk";"Neutral";0;1;0;1
"1060";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"51 - 60";0;"Goździk";"Detractor";1;0;0;1
"1061";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";4;"Goździk";"Detractor";1;0;0;1
"1062";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"41 - 50";5;"Goździk";"Detractor";1;0;0;1
"1063";"Wyższe rolnicze";"Pracownik techniczny";"25.01 - 50 ha";"mniej niż 30";6;"Goździk";"Detractor";1;0;0;1
"1064";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";9;"Goździk";"Promoter";0;0;1;1
"1065";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";5;"Goździk";"Detractor";1;0;0;1
"1066";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"mniej niż 30";7;"Goździk";"Neutral";0;1;0;1
"1067";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";10;"Goździk";"Promoter";0;0;1;1
"1068";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";10;"Goździk";"Promoter";0;0;1;1
"1069";"Średnie techniczne";"Główny agronom";"50.01 - 100 ha";"powyżej 60";7;"Goździk";"Neutral";0;1;0;1
"1070";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";2;"Goździk";"Detractor";1;0;0;1
"1071";"Wyższe rolnicze";"Właściciel";"więcej niż 250 ha";"51 - 60";0;"Goździk";"Detractor";1;0;0;1
"1072";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";5;"Goździk";"Detractor";1;0;0;1
"1073";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"31 - 40";7;"Goździk";"Neutral";0;1;0;1
"1074";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";1;"Goździk";"Detractor";1;0;0;1
"1075";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"41 - 50";8;"Goździk";"Neutral";0;1;0;1
"1076";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";9;"Goździk";"Promoter";0;0;1;1
"1077";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";7;"Goździk";"Neutral";0;1;0;1
"1079";"Wyższe";"Pracownik techniczny";"25.01 - 50 ha";"51 - 60";6;"Goździk";"Detractor";1;0;0;1
"1080";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"powyżej 60";5;"Goździk";"Detractor";1;0;0;1
"1081";"Średnie techniczne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";6;"Goździk";"Detractor";1;0;0;1
"1082";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"mniej niż 30";8;"Goździk";"Neutral";0;1;0;1
"1083";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"51 - 60";0;"Goździk";"Detractor";1;0;0;1
"1084";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";4;"Goździk";"Detractor";1;0;0;1
"1085";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powyżej 60";0;"Goździk";"Detractor";1;0;0;1
"1086";"Wyższe";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"51 - 60";9;"Goździk";"Promoter";0;0;1;1
"1087";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";10;"Goździk";"Promoter";0;0;1;1
"1089";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";5;"Goździk";"Detractor";1;0;0;1
"1090";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";0;"Goździk";"Detractor";1;0;0;1
"1091";"Średnie techniczne";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";5;"Goździk";"Detractor";1;0;0;1
"1092";"Wyższe rolnicze";"Agronom ekspert";"25.01 - 50 ha";"powyżej 60";8;"Goździk";"Neutral";0;1;0;1
"1093";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"mniej niż 30";0;"Goździk";"Detractor";1;0;0;1
"1094";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"41 - 50";9;"Goździk";"Promoter";0;0;1;1
"1097";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"powyżej 60";2;"Goździk";"Detractor";1;0;0;1
"1098";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";6;"Goździk";"Detractor";1;0;0;1
"1099";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";10;"Goździk";"Promoter";0;0;1;1
"1100";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";6;"Goździk";"Detractor";1;0;0;1
"1101";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";0;"Goździk";"Detractor";1;0;0;1
"1102";"Wyższe";"Właściciel";"więcej niż 250 ha";"mniej niż 30";4;"Goździk";"Detractor";1;0;0;1
"1103";"Wyższe";"Właściciel";"więcej niż 250 ha";"powyżej 60";9;"Goździk";"Promoter";0;0;1;1
"1104";"Wyższe";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";7;"Goździk";"Neutral";0;1;0;1
"1105";"Wyższe rolnicze";"Pracownik techniczny";"mniej niż 25 ha";"mniej niż 30";7;"Goździk";"Neutral";0;1;0;1
"1106";"Wyższe";"Główny agronom";"więcej niż 250 ha";"powyżej 60";7;"Goździk";"Neutral";0;1;0;1
"1107";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";7;"Goździk";"Neutral";0;1;0;1
"1108";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";4;"Goździk";"Detractor";1;0;0;1
"1109";"Wyższe rolnicze";"Główny agronom";"50.01 - 100 ha";"powyżej 60";9;"Goździk";"Promoter";0;0;1;1
"1110";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";1;"Goździk";"Detractor";1;0;0;1
"1111";"Średnie techniczne";"Główny agronom";"więcej niż 250 ha";"31 - 40";0;"Goździk";"Detractor";1;0;0;1
"1112";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"powyżej 60";8;"Goździk";"Neutral";0;1;0;1
"1113";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";8;"Goździk";"Neutral";0;1;0;1
"1115";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";6;"Goździk";"Detractor";1;0;0;1
"1116";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"51 - 60";10;"Goździk";"Promoter";0;0;1;1
"1117";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";10;"Goździk";"Promoter";0;0;1;1
"1119";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";3;"Goździk";"Detractor";1;0;0;1
"1120";"Wyższe";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";5;"Goździk";"Detractor";1;0;0;1
"1121";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";10;"Goździk";"Promoter";0;0;1;1
"1122";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"41 - 50";9;"Goździk";"Promoter";0;0;1;1
"1123";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";6;"Goździk";"Detractor";1;0;0;1
"1124";"Średnie techniczne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";7;"Goździk";"Neutral";0;1;0;1
"1125";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"31 - 40";1;"Goździk";"Detractor";1;0;0;1
"1126";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";2;"Goździk";"Detractor";1;0;0;1
"1127";"Wyższe rolnicze";"Inna";"więcej niż 250 ha";"51 - 60";2;"Goździk";"Detractor";1;0;0;1
"1128";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";1;"Goździk";"Detractor";1;0;0;1
"1129";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";2;"Goździk";"Detractor";1;0;0;1
"1130";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"powyżej 60";0;"Goździk";"Detractor";1;0;0;1
"1131";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"powyżej 60";5;"Goździk";"Detractor";1;0;0;1
"1132";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"31 - 40";9;"Goździk";"Promoter";0;0;1;1
"1133";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";5;"Goździk";"Detractor";1;0;0;1
"1134";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"41 - 50";2;"Goździk";"Detractor";1;0;0;1
"1135";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";5;"Goździk";"Detractor";1;0;0;1
"1136";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";0;"Goździk";"Detractor";1;0;0;1
"1137";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";9;"Goździk";"Promoter";0;0;1;1
"1138";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"41 - 50";7;"Goździk";"Neutral";0;1;0;1
"1139";"Średnie techniczne";"Właściciel";"25.01 - 50 ha";"41 - 50";1;"Goździk";"Detractor";1;0;0;1
"1140";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"powyżej 60";9;"Goździk";"Promoter";0;0;1;1
"1141";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powyżej 60";9;"Goździk";"Promoter";0;0;1;1
"1142";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"51 - 60";8;"Goździk";"Neutral";0;1;0;1
"1143";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";3;"Goździk";"Detractor";1;0;0;1
"1144";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"powyżej 60";6;"Goździk";"Detractor";1;0;0;1
"1145";"Wyższe rolnicze";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";9;"Goździk";"Promoter";0;0;1;1
"1146";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";3;"Goździk";"Detractor";1;0;0;1
"1147";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";10;"Goździk";"Promoter";0;0;1;1
"1148";"Wyższe";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";8;"Goździk";"Neutral";0;1;0;1
"1149";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"41 - 50";5;"Goździk";"Detractor";1;0;0;1
"1150";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"powyżej 60";10;"Goździk";"Promoter";0;0;1;1
"1151";"Średnie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";4;"Goździk";"Detractor";1;0;0;1
"1152";"Wyższe";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";5;"Goździk";"Detractor";1;0;0;1
"1153";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"51 - 60";9;"Goździk";"Promoter";0;0;1;1
"1154";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"powyżej 60";2;"Goździk";"Detractor";1;0;0;1
"1155";"Wyższe rolnicze";"Właściciel";"25.01 - 50 ha";"powyżej 60";7;"Goździk";"Neutral";0;1;0;1
"1156";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";10;"Goździk";"Promoter";0;0;1;1
"1157";"Wyższe";"Główny agronom";"100.01 - 250 ha";"powyżej 60";10;"Goździk";"Promoter";0;0;1;1
"1158";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"41 - 50";5;"Goździk";"Detractor";1;0;0;1
"1159";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";5;"Goździk";"Detractor";1;0;0;1
"1160";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"powyżej 60";9;"Goździk";"Promoter";0;0;1;1
"1161";"Średnie techniczne";"Agronom ekspert";"mniej niż 25 ha";"powyżej 60";7;"Goździk";"Neutral";0;1;0;1
"1162";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"51 - 60";3;"Goździk";"Detractor";1;0;0;1
"1163";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";1;"Goździk";"Detractor";1;0;0;1
"1164";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"mniej niż 30";9;"Goździk";"Promoter";0;0;1;1
"1165";"Wyższe";"Główny agronom";"więcej niż 250 ha";"31 - 40";8;"Goździk";"Neutral";0;1;0;1
"1166";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"mniej niż 30";7;"Goździk";"Neutral";0;1;0;1
"1167";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"powyżej 60";1;"Goździk";"Detractor";1;0;0;1
"1168";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";1;"Goździk";"Detractor";1;0;0;1
"1169";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";6;"Goździk";"Detractor";1;0;0;1
"1170";"Średnie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";7;"Goździk";"Neutral";0;1;0;1
"1171";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"31 - 40";6;"Goździk";"Detractor";1;0;0;1
"1172";"Wyższe";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";7;"Goździk";"Neutral";0;1;0;1
"1173";"Wyższe rolnicze";"Właściciel";"więcej niż 250 ha";"powyżej 60";10;"Goździk";"Promoter";0;0;1;1
"1174";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"51 - 60";7;"Goździk";"Neutral";0;1;0;1
"1175";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"mniej niż 30";5;"Goździk";"Detractor";1;0;0;1
"1176";"Średnie techniczne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";1;"Goździk";"Detractor";1;0;0;1
"1177";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";10;"Jaskier";"Promoter";0;0;1;1
"1178";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";9;"Jaskier";"Promoter";0;0;1;1
"1179";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";9;"Jaskier";"Promoter";0;0;1;1
"1180";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";9;"Jaskier";"Promoter";0;0;1;1
"1181";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";4;"Jaskier";"Detractor";1;0;0;1
"1182";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"mniej niż 30";8;"Jaskier";"Neutral";0;1;0;1
"1183";"Wyższe";"Główny agronom";"100.01 - 250 ha";"41 - 50";9;"Jaskier";"Promoter";0;0;1;1
"1184";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";3;"Jaskier";"Detractor";1;0;0;1
"1185";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"powyżej 60";10;"Jaskier";"Promoter";0;0;1;1
"1186";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";4;"Jaskier";"Detractor";1;0;0;1
"1187";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";5;"Jaskier";"Detractor";1;0;0;1
"1188";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"41 - 50";9;"Jaskier";"Promoter";0;0;1;1
"1189";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"41 - 50";7;"Jaskier";"Neutral";0;1;0;1
"1190";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"mniej niż 30";9;"Jaskier";"Promoter";0;0;1;1
"1191";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"31 - 40";7;"Jaskier";"Neutral";0;1;0;1
"1192";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";2;"Jaskier";"Detractor";1;0;0;1
"1193";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"31 - 40";9;"Jaskier";"Promoter";0;0;1;1
"1194";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"51 - 60";7;"Jaskier";"Neutral";0;1;0;1
"1195";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"powyżej 60";7;"Jaskier";"Neutral";0;1;0;1
"1196";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";7;"Jaskier";"Neutral";0;1;0;1
"1197";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";1;"Jaskier";"Detractor";1;0;0;1
"1198";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";4;"Jaskier";"Detractor";1;0;0;1
"1199";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"powyżej 60";0;"Jaskier";"Detractor";1;0;0;1
"1200";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";3;"Jaskier";"Detractor";1;0;0;1
"1201";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";9;"Jaskier";"Promoter";0;0;1;1
"1202";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";2;"Jaskier";"Detractor";1;0;0;1
"1203";"Średnie techniczne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";5;"Jaskier";"Detractor";1;0;0;1
"1204";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";7;"Jaskier";"Neutral";0;1;0;1
"1205";"Średnie ogólne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";4;"Jaskier";"Detractor";1;0;0;1
"1206";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";6;"Jaskier";"Detractor";1;0;0;1
"1207";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"powyżej 60";7;"Jaskier";"Neutral";0;1;0;1
"1208";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";10;"Jaskier";"Promoter";0;0;1;1
"1209";"Wyższe";"Główny agronom";"więcej niż 250 ha";"51 - 60";10;"Jaskier";"Promoter";0;0;1;1
"1210";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";7;"Jaskier";"Neutral";0;1;0;1
"1211";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";1;"Jaskier";"Detractor";1;0;0;1
"1212";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";2;"Jaskier";"Detractor";1;0;0;1
"1213";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";4;"Jaskier";"Detractor";1;0;0;1
"1214";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";7;"Jaskier";"Neutral";0;1;0;1
"1215";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";9;"Jaskier";"Promoter";0;0;1;1
"1216";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"51 - 60";1;"Jaskier";"Detractor";1;0;0;1
"1217";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";9;"Jaskier";"Promoter";0;0;1;1
"1218";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";7;"Jaskier";"Neutral";0;1;0;1
"1219";"Średnie techniczne";"Agronom ekspert";"100.01 - 250 ha";"41 - 50";3;"Jaskier";"Detractor";1;0;0;1
"1220";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"31 - 40";7;"Jaskier";"Neutral";0;1;0;1
"1221";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";9;"Jaskier";"Promoter";0;0;1;1
"1222";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"powyżej 60";3;"Jaskier";"Detractor";1;0;0;1
"1223";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"51 - 60";2;"Jaskier";"Detractor";1;0;0;1
"1224";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";8;"Jaskier";"Neutral";0;1;0;1
"1225";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";10;"Jaskier";"Promoter";0;0;1;1
"1226";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";4;"Jaskier";"Detractor";1;0;0;1
"1227";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";1;"Jaskier";"Detractor";1;0;0;1
"1228";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";6;"Jaskier";"Detractor";1;0;0;1
